Symbol;Entrez;Genetype
LYPLA1;10434;protein-coding
CRISPLD1;83690;protein-coding
COPS5;10987;protein-coding
RDH10;157506;protein-coding
AKAP1;8165;protein-coding
COIL;8161;protein-coding
TRIM25;7706;protein-coding
SCPEP1;59342;protein-coding
SPOP;8405;protein-coding
TBX2;6909;protein-coding
SLC35B1;10237;protein-coding
TEX14;56155;protein-coding
FAM117A;81558;protein-coding
NCAPH;23397;protein-coding
TMEM131L;23240;protein-coding
MND1;84057;protein-coding
TRIM6;117854;protein-coding
TENT4B;64282;protein-coding
ADCY7;113;protein-coding
CEP89;84902;protein-coding
ECHDC2;55268;protein-coding
PLBD1;79887;protein-coding
PYROXD1;79912;protein-coding
KCNJ8;3764;protein-coding
PSPC1;55269;protein-coding
ZNF549;256051;protein-coding
A1BG;1;protein-coding
ZSCAN18;65982;protein-coding
ZNF211;10520;protein-coding
PDZRN3;23024;protein-coding
LHX4;89884;protein-coding
RNF2;6045;protein-coding
TRMT1L;81627;protein-coding
SEC22A;26984;protein-coding
CSTA;1475;protein-coding
DPPA4;55211;protein-coding
POPDC2;64091;protein-coding
B4GALT4;8702;protein-coding
NAA50;80218;protein-coding
KIF18A;81930;protein-coding
DESI2;51029;protein-coding
MAPK8IP1;9479;protein-coding
CRY2;1408;protein-coding
PEX16;9409;protein-coding
DEPDC7;91614;protein-coding
CAT;847;protein-coding
PILRB;29990;protein-coding
ZMYM2;7750;protein-coding
TBC1D15;64786;protein-coding
ADGRB2;576;protein-coding
HCRTR1;3061;protein-coding
ZCCHC17;51538;protein-coding
FABP3;2170;protein-coding
KHDRBS1;10657;protein-coding
TMEM39B;55116;protein-coding
CCRL2;9034;protein-coding
CCR2;729230;protein-coding
POLR3GL;84265;protein-coding
TNFSF10;8743;protein-coding
ZNF639;51193;protein-coding
SLITRK3;22865;protein-coding
PIK3CA;5290;protein-coding
PDS5A;23244;protein-coding
LIAS;11019;protein-coding
TMEM54;113452;protein-coding
ZSCAN20;7579;protein-coding
LRIF1;55791;protein-coding
CLCC1;23155;protein-coding
GPSM2;29899;protein-coding
GTDC1;79712;protein-coding
CXCR4;7852;protein-coding
ZRANB3;84083;protein-coding
ACVR2A;92;protein-coding
POLK;51426;protein-coding
RPL21;6144;protein-coding
MTIF3;219402;protein-coding
GTF3A;2971;protein-coding
RASL11A;387496;protein-coding
UBL3;5412;protein-coding
FYTTD1;84248;protein-coding
MTERF4;130916;protein-coding
OCRL;4952;protein-coding
PAEP;5047;protein-coding
MRPS2;51116;protein-coding
KIAA1191;57179;protein-coding
COPA;1314;protein-coding
LY9;4063;protein-coding
RBBP6;5930;protein-coding
ZC3H7A;29066;protein-coding
SERAC1;84947;protein-coding
ANXA11;311;protein-coding
LDB3;11155;protein-coding
SHLD2;54537;protein-coding
PRXL2A;84293;protein-coding
ZNF205;7755;protein-coding
NAA60;79903;protein-coding
RPL5;6125;protein-coding
ODF2L;57489;protein-coding
TRMT13;54482;protein-coding
LRRC39;127495;protein-coding
RWDD3;25950;protein-coding
ZNF644;84146;protein-coding
CCDC18;343099;protein-coding
RPAP2;79871;protein-coding
SLC66A2;80148;protein-coding
BBS9;27241;protein-coding
PMS2;5395;protein-coding
ZMIZ2;83637;protein-coding
SEPTIN7;989;protein-coding
EEPD1;80820;protein-coding
KLHL7;55975;protein-coding
HERPUD2;64224;protein-coding
CBX3;11335;protein-coding
HNRNPA2B1;3181;protein-coding
WIPF3;644150;protein-coding
HYCC1;84668;protein-coding
HOXA7;3204;protein-coding
INHBA;3624;protein-coding
FKBP9;11328;protein-coding
NT5C3A;51251;protein-coding
ARL4A;10124;protein-coding
CCZ1;51622;protein-coding
POLM;27434;protein-coding
MRM2;29960;protein-coding
TWIST1;7291;protein-coding
SMU1;55234;protein-coding
GLIPR2;152007;protein-coding
SLC25A51;92014;protein-coding
CLTA;1211;protein-coding
RECK;8434;protein-coding
TAF1L;138474;protein-coding
ACO1;48;protein-coding
DNAI1;27019;protein-coding
DCAF10;79269;protein-coding
CNTFR;1271;protein-coding
KIAA1549;57670;protein-coding
TRIM24;8805;protein-coding
CYREN;78996;protein-coding
CALD1;800;protein-coding
AKR1D1;6718;protein-coding
PLAU;5328;protein-coding
SRGN;5552;protein-coding
CHST3;9469;protein-coding
BICC1;80114;protein-coding
CISD1;55847;protein-coding
EGR2;1959;protein-coding
ECD;11319;protein-coding
P4HA1;5033;protein-coding
SLC25A16;8034;protein-coding
ZWINT;11130;protein-coding
VPS26A;9559;protein-coding
RBM19;9904;protein-coding
CIT;11113;protein-coding
IFT81;28981;protein-coding
ACADS;35;protein-coding
HVCN1;84329;protein-coding
DDX54;79039;protein-coding
MED13L;23389;protein-coding
CDKN2C;1031;protein-coding
RNF11;26994;protein-coding
RASSF8;11228;protein-coding
BHLHE41;79365;protein-coding
SSPN;8082;protein-coding
ITPR2;3709;protein-coding
CCDC91;55297;protein-coding
NECAB1;64168;protein-coding
WWP1;11059;protein-coding
ACOT9;23597;protein-coding
PRDX4;10549;protein-coding
DDX39A;10212;protein-coding
PKN1;5585;protein-coding
TRIR;79002;protein-coding
ADGRE5;976;protein-coding
WDR83;84292;protein-coding
GIPC1;10755;protein-coding
SPRYD7;57213;protein-coding
EBPL;84650;protein-coding
ATP7B;540;protein-coding
ZC3H13;23091;protein-coding
NLN;57486;protein-coding
CENPK;64105;protein-coding
OPTN;10133;protein-coding
ITIH5;80760;protein-coding
ATF1;466;protein-coding
TSFM;10102;protein-coding
ARHGAP9;64333;protein-coding
NCKAP1L;3071;protein-coding
MMP19;4327;protein-coding
PFDN5;5204;protein-coding
SPATS2;65244;protein-coding
ORMDL2;29095;protein-coding
NR4A1;3164;protein-coding
PDE1B;5153;protein-coding
HOXC13;3229;protein-coding
CDK2;1017;protein-coding
LRP1;4035;protein-coding
HOXC11;3227;protein-coding
ATG101;60673;protein-coding
NFE2;4778;protein-coding
HOXC12;3228;protein-coding
IKZF4;64375;protein-coding
SMUG1;23583;protein-coding
TUBA1B;10376;protein-coding
EEF1AKMT3;25895;protein-coding
KBTBD4;55709;protein-coding
SARDH;1757;protein-coding
ATPAF1;64756;protein-coding
STIL;6491;protein-coding
HJURP;55355;protein-coding
IL13RA2;3598;protein-coding
AMD1;262;protein-coding
NDUFAF4;29078;protein-coding
USP45;85015;protein-coding
PLP1;5354;protein-coding
MORF4L2;9643;protein-coding
RAB9B;51209;protein-coding
NRK;203447;protein-coding
FAM199X;139231;protein-coding
ESX1;80712;protein-coding
MAGEA9;4108;protein-coding
RAB9A;9367;protein-coding
METTL8;79828;protein-coding
TTC21B;79809;protein-coding
NMI;9111;protein-coding
ACVR1C;130399;protein-coding
BAZ2B;29994;protein-coding
SLC36A1;206358;protein-coding
LPGAT1;9926;protein-coding
BATF3;55509;protein-coding
RAP2C;57826;protein-coding
EXOSC9;5393;protein-coding
PLA2G12A;81579;protein-coding
B9D2;80776;protein-coding
COQ8B;79934;protein-coding
PFKFB2;5208;protein-coding
C4BPB;725;protein-coding
RAB38;23682;protein-coding
AGO2;27161;protein-coding
MXD4;10608;protein-coding
CKS2;1164;protein-coding
DAW1;164781;protein-coding
ACSL3;2181;protein-coding
CHPF;79586;protein-coding
DNPEP;23549;protein-coding
INHA;3623;protein-coding
OBSL1;23363;protein-coding
SLC12A4;6560;protein-coding
ENKD1;84080;protein-coding
FAM210B;116151;protein-coding
SNX21;90203;protein-coding
SLPI;6590;protein-coding
TTPAL;79183;protein-coding
PREX1;57580;protein-coding
KCNS1;3787;protein-coding
SLC12A5;57468;protein-coding
ARHGAP40;343578;protein-coding
SDC4;6385;protein-coding
NCOA3;8202;protein-coding
PIGT;51604;protein-coding
NCOA5;57727;protein-coding
VAPB;9217;protein-coding
PARD6B;84612;protein-coding
ATP5F1E;514;protein-coding
CHD6;84181;protein-coding
PLCG1;5335;protein-coding
SRSF6;6431;protein-coding
ARFGEF2;10564;protein-coding
ZNFX1;57169;protein-coding
CSE1L;1434;protein-coding
PEDS1-UBE2V1;387522;protein-coding
RAB22A;57403;protein-coding
PTGIS;5740;protein-coding
STAU1;6780;protein-coding
SNAI1;6615;protein-coding
MOCS3;27304;protein-coding
STX16;8675;protein-coding
PMEPA1;56937;protein-coding
RNF114;55905;protein-coding
DDX27;55661;protein-coding
BCAS4;55653;protein-coding
TP53TG5;27296;protein-coding
MAGEA10;4109;protein-coding
MTRR;4552;protein-coding
FASTKD3;79072;protein-coding
PEPD;5184;protein-coding
IQSEC2;23096;protein-coding
VAMP7;6845;protein-coding
IL9R;3581;protein-coding
XG;7499;protein-coding
STAMBP;10617;protein-coding
NAGK;55577;protein-coding
MCEE;84693;protein-coding
PAIP2B;400961;protein-coding
SNRNP27;11017;protein-coding
MPHOSPH10;10199;protein-coding
ATP8A1;10396;protein-coding
USP22;23326;protein-coding
POF1B;79983;protein-coding
ZNF576;79177;protein-coding
ZNF45;7596;protein-coding
LYPD3;27076;protein-coding
PSG8;440533;protein-coding
CEACAM8;1088;protein-coding
USP9X;8239;protein-coding
CRISP2;7180;protein-coding
GRM4;2914;protein-coding
TRERF1;55809;protein-coding
PACSIN1;29993;protein-coding
BTN2A2;10385;protein-coding
SIRT5;23408;protein-coding
MRS2;57380;protein-coding
WRNIP1;56897;protein-coding
RRP36;88745;protein-coding
BTN1A1;696;protein-coding
SNRPC;6631;protein-coding
SERPINB6;5269;protein-coding
XPO5;57510;protein-coding
ABCC10;89845;protein-coding
PEX6;5190;protein-coding
NQO2;4835;protein-coding
OARD1;221443;protein-coding
UNC5CL;222643;protein-coding
AARS2;57505;protein-coding
ZNF391;346157;protein-coding
RPS10;6204;protein-coding
MOCS1;4337;protein-coding
H2BC11;8970;protein-coding
MED20;9477;protein-coding
TBCC;6903;protein-coding
SPDEF;25803;protein-coding
MAD2L1BP;9587;protein-coding
APOBEC2;10930;protein-coding
KLHDC3;116138;protein-coding
DNAH8;1769;protein-coding
MEA1;4201;protein-coding
KLHL31;401265;protein-coding
COL21A1;81578;protein-coding
CDKN1A;1026;protein-coding
SOX4;6659;protein-coding
GLO1;2739;protein-coding
CPNE5;57699;protein-coding
RREB1;6239;protein-coding
SSR1;6745;protein-coding
RIOK1;83732;protein-coding
NRN1;51299;protein-coding
SLC35B3;51000;protein-coding
RPP40;10799;protein-coding
ATXN1;6310;protein-coding
NUP153;9972;protein-coding
DEK;7913;protein-coding
EEF1E1;9521;protein-coding
RUNX2;860;protein-coding
LRRFIP1;9208;protein-coding
RAB17;64284;protein-coding
EREG;2069;protein-coding
MYRF;745;protein-coding
AHNAK;79026;protein-coding
EMC3;55831;protein-coding
SH3TC1;54436;protein-coding
CNOT1;23019;protein-coding
BBS2;583;protein-coding
MT1G;4495;protein-coding
MT2A;4502;protein-coding
PHAF1;80262;protein-coding
GOT2;2806;protein-coding
DOK4;55715;protein-coding
CLYBL;171425;protein-coding
TMTC4;84899;protein-coding
RAP2A;5911;protein-coding
ABCC4;10257;protein-coding
EFNB2;1948;protein-coding
TM9SF2;9375;protein-coding
HROB;78995;protein-coding
IRF1;3659;protein-coding
UPF3B;65109;protein-coding
RNF113A;7737;protein-coding
SEPTIN6;23157;protein-coding
TMEM255A;55026;protein-coding
NDUFA1;4694;protein-coding
DMAC2L;27109;protein-coding
BMP4;652;protein-coding
FAM193A;8603;protein-coding
GRK4;2868;protein-coding
SOX9;6662;protein-coding
HS3ST3B1;9953;protein-coding
SLC25A35;399512;protein-coding
MRPS7;51081;protein-coding
GGA3;23163;protein-coding
ARMC7;79637;protein-coding
NUP85;79902;protein-coding
SLC25A19;60386;protein-coding
MIF4GD;57409;protein-coding
NT5C;30833;protein-coding
MSTO1;55154;protein-coding
TTF1;7270;protein-coding
GTF3C4;9329;protein-coding
DDX31;64794;protein-coding
PPP1R12C;54776;protein-coding
MBOAT7;79143;protein-coding
SRMS;6725;protein-coding
OPRL1;4987;protein-coding
SLC2A4RG;56731;protein-coding
PPDPF;79144;protein-coding
IL1B;3553;protein-coding
PLGLB2;5342;protein-coding
CHCHD5;84269;protein-coding
PAX8;7849;protein-coding
INSIG2;51141;protein-coding
POLR1B;84172;protein-coding
CCDC93;54520;protein-coding
PSD4;23550;protein-coding
SLC25A23;79085;protein-coding
PSPN;5623;protein-coding
GTF2F1;2962;protein-coding
ALKBH7;84266;protein-coding
CLPP;8192;protein-coding
TNFSF9;8744;protein-coding
THOC2;57187;protein-coding
MED1;5469;protein-coding
RPL23;9349;protein-coding
ATG4C;84938;protein-coding
CD70;970;protein-coding
C3;718;protein-coding
SH2D3A;10045;protein-coding
TRIP10;9322;protein-coding
GPR108;56927;protein-coding
TNFSF14;8740;protein-coding
FOSB;2354;protein-coding
OPA3;80207;protein-coding
SNRPD2;6633;protein-coding
RTN2;6253;protein-coding
EML2;24139;protein-coding
VASP;7408;protein-coding
SYMPK;8189;protein-coding
GPCPD1;56261;protein-coding
SDCBP2;27111;protein-coding
PANK2;80025;protein-coding
GZF1;64412;protein-coding
NAPB;63908;protein-coding
CENPB;1059;protein-coding
PSMF1;9491;protein-coding
DTD1;92675;protein-coding
RBCK1;10616;protein-coding
TMX4;56255;protein-coding
STK35;140901;protein-coding
SNRPB;6628;protein-coding
NRSN2;80023;protein-coding
AP5S1;55317;protein-coding
RRBP1;6238;protein-coding
ZNF133;7692;protein-coding
FLRT3;23767;protein-coding
OVOL2;58495;protein-coding
MKKS;8195;protein-coding
BFSP1;631;protein-coding
DSTN;11034;protein-coding
SNRPB2;6629;protein-coding
MGME1;92667;protein-coding
LRRN4;164312;protein-coding
TBC1D20;128637;protein-coding
ITPA;3704;protein-coding
TCF15;6939;protein-coding
MCM8;84515;protein-coding
TMEM74B;55321;protein-coding
FAM110A;83541;protein-coding
MRPS26;64949;protein-coding
NCLN;56926;protein-coding
HNRNPR;10236;protein-coding
ZNF436;80818;protein-coding
MAX;4149;protein-coding
CHURC1-FNTB;100529261;protein-coding
ARMCX5;64860;protein-coding
MMP24;10893;protein-coding
NECAB3;63941;protein-coding
ID1;3397;protein-coding
RALY;22913;protein-coding
DYNLRB1;83658;protein-coding
EIF2S2;8894;protein-coding
ERGIC3;51614;protein-coding
ROMO1;140823;protein-coding
CEP250;11190;protein-coding
PLAGL2;5326;protein-coding
MMP24OS;101410538;protein-coding
GRPR;2925;protein-coding
KDM5C;8242;protein-coding
AMOT;154796;protein-coding
TMEM115;11070;protein-coding
PSMB2;5690;protein-coding
AGO3;192669;protein-coding
UROD;7389;protein-coding
ST3GAL3;6487;protein-coding
TMEM53;79639;protein-coding
HECTD3;79654;protein-coding
KLC1;3831;protein-coding
XRCC3;7517;protein-coding
TUBGCP3;10426;protein-coding
MCF2L;23263;protein-coding
PCID2;55795;protein-coding
LRFN3;79414;protein-coding
IGFLR1;79713;protein-coding
CAPNS1;826;protein-coding
PDCD2L;84306;protein-coding
RBM42;79171;protein-coding
KIRREL2;84063;protein-coding
UBA2;10054;protein-coding
COX6B1;1340;protein-coding
THRA;7067;protein-coding
CCR7;1236;protein-coding
NR1D1;9572;protein-coding
FRMD8;83786;protein-coding
PRDX5;25824;protein-coding
BCL2L12;83596;protein-coding
IRF3;3661;protein-coding
PRMT1;3276;protein-coding
RRAS;6237;protein-coding
PRRG2;5639;protein-coding
SCAF1;58506;protein-coding
PRR12;57479;protein-coding
TSKS;60385;protein-coding
ASL;435;protein-coding
SBDS;51119;protein-coding
STAT5A;6776;protein-coding
WNK4;65266;protein-coding
BECN1;8678;protein-coding
PRKCG;5582;protein-coding
TRAP1;10131;protein-coding
GLIS2;84662;protein-coding
NSRP1;84081;protein-coding
DNAJC8;22826;protein-coding
AHDC1;27245;protein-coding
IFI6;2537;protein-coding
ZNF384;171017;protein-coding
EMG1;10436;protein-coding
UXT;8409;protein-coding
CFP;5199;protein-coding
ELK1;2002;protein-coding
TIMM17B;10245;protein-coding
PCNX4;64430;protein-coding
ATG14;22863;protein-coding
KTN1;3895;protein-coding
SIX1;6495;protein-coding
RHOJ;57381;protein-coding
DLGAP5;9787;protein-coding
L3HYPDH;112849;protein-coding
HSPA2;3306;protein-coding
ZBTB1;22890;protein-coding
TRMT5;57570;protein-coding
SGPP1;81537;protein-coding
PLEKHG3;26030;protein-coding
RHOT1;55288;protein-coding
DYNC2I1;55112;protein-coding
AIF1L;83543;protein-coding
FAM78A;286336;protein-coding
NUP214;8021;protein-coding
CTAG2;30848;protein-coding
SLC10A3;8273;protein-coding
MAP2K2;5605;protein-coding
HNRNPH2;3188;protein-coding
ARMCX1;51309;protein-coding
TIMM8A;1678;protein-coding
ZC4H2;55906;protein-coding
CANX;821;protein-coding
INTS11;54973;protein-coding
IPPK;64768;protein-coding
ZNF484;83744;protein-coding
FGD3;89846;protein-coding
HIVEP3;59269;protein-coding
PPCS;79717;protein-coding
EDN2;1907;protein-coding
COX7C;1350;protein-coding
TRAF2;7186;protein-coding
ABHD8;79575;protein-coding
ATP13A4;84239;protein-coding
PLAAT1;57110;protein-coding
HELB;92797;protein-coding
RAP1B;5908;protein-coding
TSPAN8;7103;protein-coding
BEST3;144453;protein-coding
RAB3IP;117177;protein-coding
PTPRB;5787;protein-coding
DYRK2;8445;protein-coding
YEATS4;8089;protein-coding
LRRC61;65999;protein-coding
IDUA;3425;protein-coding
FGFRL1;53834;protein-coding
TMEM175;84286;protein-coding
AUNIP;79000;protein-coding
PIN1;5300;protein-coding
FBXL12;54850;protein-coding
EMC1;23065;protein-coding
UBR4;23352;protein-coding
HP1BP3;50809;protein-coding
ADGRE2;30817;protein-coding
SIN3B;23309;protein-coding
SLC35E1;79939;protein-coding
EPS15L1;58513;protein-coding
KLF2;10365;protein-coding
UQCR11;10975;protein-coding
GFER;2671;protein-coding
SYNGR3;9143;protein-coding
PKMYT1;9088;protein-coding
WFIKKN1;117166;protein-coding
WDR24;84219;protein-coding
FBXL16;146330;protein-coding
CHTF18;63922;protein-coding
MACF1;23499;protein-coding
SMARCA4;6597;protein-coding
KDM4B;23030;protein-coding
TICAM1;148022;protein-coding
METTL25;84190;protein-coding
EMC6;83460;protein-coding
METTL16;79066;protein-coding
TUBA4A;7277;protein-coding
VIL1;7429;protein-coding
AAMP;14;protein-coding
PNKD;25953;protein-coding
TNFRSF19;55504;protein-coding
RNF6;6049;protein-coding
ECHS1;1892;protein-coding
ZNF835;90485;protein-coding
AKAP9;10142;protein-coding
GNG11;2791;protein-coding
SEM1;7979;protein-coding
GNGT1;2792;protein-coding
HIP1;3092;protein-coding
PTPN12;5782;protein-coding
POR;5447;protein-coding
FGL2;10875;protein-coding
STYXL1;51657;protein-coding
STEAP4;79689;protein-coding
GNAI1;2770;protein-coding
PEX1;5189;protein-coding
MTERF1;7978;protein-coding
SGCE;8910;protein-coding
RBM48;84060;protein-coding
CASD1;64921;protein-coding
ZNF780B;163131;protein-coding
LRFN1;57622;protein-coding
ZFP36;7538;protein-coding
SRD5A3;79644;protein-coding
SPINK2;6691;protein-coding
RASL11B;65997;protein-coding
PAICS;10606;protein-coding
PPAT;5471;protein-coding
TUBGCP6;85378;protein-coding
ADM2;79924;protein-coding
DGCR6L;85359;protein-coding
DGCR8;54487;protein-coding
ASPHD2;57168;protein-coding
SDF2L1;23753;protein-coding
GAL3ST1;9514;protein-coding
YWHAH;7533;protein-coding
GNAZ;2781;protein-coding
MGAT3;4248;protein-coding
ADORA2A;135;protein-coding
ATF4;468;protein-coding
A4GALT;53947;protein-coding
CDC42EP1;11135;protein-coding
APOL3;80833;protein-coding
TPST2;8459;protein-coding
BAIAP2L2;80115;protein-coding
MPST;4357;protein-coding
TST;7263;protein-coding
APOL2;23780;protein-coding
RAC2;5880;protein-coding
LIF;3976;protein-coding
C22orf23;84645;protein-coding
APOBEC3F;200316;protein-coding
RIBC2;26150;protein-coding
KRT17;3872;protein-coding
EMC4;51234;protein-coding
SPECC1;92521;protein-coding
CPA4;51200;protein-coding
DOCK4;9732;protein-coding
POT1;25913;protein-coding
ATP6V1F;9296;protein-coding
LSM8;51691;protein-coding
CDHR3;222256;protein-coding
PRKRIP1;79706;protein-coding
VGF;7425;protein-coding
PODXL;5420;protein-coding
STRIP2;57464;protein-coding
IFT22;64792;protein-coding
MKLN1;4289;protein-coding
DNAJB9;4189;protein-coding
FLNC;2318;protein-coding
CALU;813;protein-coding
CCDC136;64753;protein-coding
SMO;6608;protein-coding
IRF5;3663;protein-coding
LRRC17;10234;protein-coding
KLHDC10;23008;protein-coding
NDUFA5;4698;protein-coding
MRPS12;6183;protein-coding
MYO1B;4430;protein-coding
MTX2;10651;protein-coding
PDE11A;50940;protein-coding
CHN1;1123;protein-coding
OSGEPL1;64172;protein-coding
ORMDL1;94101;protein-coding
HAT1;8520;protein-coding
HERC2;8924;protein-coding
PSMG2;56984;protein-coding
TWSG1;57045;protein-coding
ARHGAP22;58504;protein-coding
EIF2AK4;440275;protein-coding
MYO5C;55930;protein-coding
CGNL1;84952;protein-coding
TMOD2;29767;protein-coding
TTBK2;146057;protein-coding
ELL3;80237;protein-coding
CCDC32;90416;protein-coding
INO80;54617;protein-coding
ICE2;79664;protein-coding
DLL4;54567;protein-coding
ALDH1A2;8854;protein-coding
MINDY2;54629;protein-coding
IVD;3712;protein-coding
KNSTRN;90417;protein-coding
DUT;1854;protein-coding
CHAC1;79094;protein-coding
CLN6;54982;protein-coding
ARPP19;10776;protein-coding
VPS13C;54832;protein-coding
CALML4;91860;protein-coding
THAP10;56906;protein-coding
LOXL1;4016;protein-coding
ANAPC13;25847;protein-coding
MBD4;8930;protein-coding
COPB1;1315;protein-coding
PSMA1;5682;protein-coding
SUMF2;25870;protein-coding
PALLD;23022;protein-coding
SPCS3;60559;protein-coding
SERGEF;26297;protein-coding
TPH1;7166;protein-coding
CSRP3;8048;protein-coding
E2F8;79733;protein-coding
DCTD;1635;protein-coding
SOX15;6665;protein-coding
PIMREG;54478;protein-coding
RPAIN;84268;protein-coding
USP6;9098;protein-coding
PLD2;5338;protein-coding
CD68;968;protein-coding
TXNDC17;84817;protein-coding
FXR2;9513;protein-coding
KIF1C;10749;protein-coding
MPDU1;9526;protein-coding
PHF20L1;51105;protein-coding
CCNT1;904;protein-coding
PUS7L;83448;protein-coding
KRI1;65095;protein-coding
ILF3;3609;protein-coding
SLC44A2;57153;protein-coding
AP1M2;10053;protein-coding
CDKN2D;1032;protein-coding
MTUS1;57509;protein-coding
KLK8;11202;protein-coding
NGDN;25983;protein-coding
ADCY4;196883;protein-coding
RAB2B;84932;protein-coding
BCL2L2;599;protein-coding
AJUBA;84962;protein-coding
DTD2;112487;protein-coding
PARP2;10038;protein-coding
HEATR5A;25938;protein-coding
SNX6;58533;protein-coding
EAPP;55837;protein-coding
EGLN3;112399;protein-coding
MIS18BP1;55320;protein-coding
NRL;4901;protein-coding
RNASE1;6035;protein-coding
NEDD8;4738;protein-coding
DAD1;1603;protein-coding
TEP1;7011;protein-coding
EPB41L4A;64097;protein-coding
CDO1;1036;protein-coding
REEP5;7905;protein-coding
ITFG1;81533;protein-coding
QRICH2;84074;protein-coding
SEC14L1;6397;protein-coding
RHBDF2;79651;protein-coding
ARHGEF6;9459;protein-coding
MAP7D3;79649;protein-coding
ASH2L;9070;protein-coding
TTI2;80185;protein-coding
CHRNA10;57053;protein-coding
CDKN1C;1028;protein-coding
SGO1;151648;protein-coding
RPS4Y1;6192;protein-coding
KLF16;83855;protein-coding
PGAP6;58986;protein-coding
DOHH;83475;protein-coding
MAU2;23383;protein-coding
SHC2;25759;protein-coding
PLPPR3;79948;protein-coding
ABHD17A;81926;protein-coding
SYT5;6861;protein-coding
TNNI3;7137;protein-coding
CBFA2T3;863;protein-coding
GAMT;2593;protein-coding
PUDP;8226;protein-coding
ERMARD;55780;protein-coding
PHF10;55274;protein-coding
CRACR2A;84766;protein-coding
NXNL2;158046;protein-coding
STARD8;9754;protein-coding
GDPD2;54857;protein-coding
SAT1;6303;protein-coding
GNL3L;54552;protein-coding
SH3BP4;23677;protein-coding
MOSPD2;158747;protein-coding
DOCK6;57572;protein-coding
ECSIT;51295;protein-coding
LDLR;3949;protein-coding
ELOF1;84337;protein-coding
PRKCSH;5589;protein-coding
CNN1;1264;protein-coding
CDC16;8881;protein-coding
ZSCAN10;84891;protein-coding
THEM6;51337;protein-coding
NECTIN2;5819;protein-coding
APOE;348;protein-coding
TOMM40;10452;protein-coding
APOC1;341;protein-coding
GADD45G;10912;protein-coding
LRCH2;57631;protein-coding
DPP6;1804;protein-coding
XPO7;23039;protein-coding
ACE2;59272;protein-coding
FAM98C;147965;protein-coding
SAFB2;9667;protein-coding
RPL36;25873;protein-coding
ATP8B3;148229;protein-coding
GDF1;2657;protein-coding
GTPBP3;84705;protein-coding
BST2;684;protein-coding
SLC27A1;376497;protein-coding
NSUN5;55695;protein-coding
USHBP1;83878;protein-coding
COLGALT1;79709;protein-coding
DDA1;79016;protein-coding
MRPL34;64981;protein-coding
PGLS;25796;protein-coding
LSM7;51690;protein-coding
TULP4;56995;protein-coding
SNX9;51429;protein-coding
RTN4IP1;84816;protein-coding
QRSL1;55278;protein-coding
MTRES1;51250;protein-coding
RSPH3;83861;protein-coding
MLLT1;4298;protein-coding
AFDN;4301;protein-coding
ACTN4;81;protein-coding
STK33;65975;protein-coding
NDUFA10;4705;protein-coding
EPO;2056;protein-coding
ARPC1B;10095;protein-coding
CACNG6;59285;protein-coding
ZSWIM6;57688;protein-coding
FCHO1;23149;protein-coding
UNC13A;23025;protein-coding
MAP1S;55201;protein-coding
KLHDC7B;113730;protein-coding
PXDN;7837;protein-coding
SSBP4;170463;protein-coding
GDF15;9518;protein-coding
PGPEP1;54858;protein-coding
IQCN;80726;protein-coding
LSM4;25804;protein-coding
JUND;3727;protein-coding
HRC;3270;protein-coding
TRPM4;54795;protein-coding
ZNF557;79230;protein-coding
CRB3;92359;protein-coding
CAMSAP1;157922;protein-coding
UBAC1;10422;protein-coding
ZBTB46;140685;protein-coding
HELZ2;85441;protein-coding
SAMD10;140700;protein-coding
LSP1;4046;protein-coding
TNNT3;7140;protein-coding
TNNI2;7136;protein-coding
COL5A1;1289;protein-coding
ATXN10;25814;protein-coding
TUBGCP2;10844;protein-coding
PNPLA7;375775;protein-coding
PAK4;10298;protein-coding
MNX1;3110;protein-coding
ZNF337;26152;protein-coding
CEP85;64793;protein-coding
TAF4;6874;protein-coding
RBBP8NL;140893;protein-coding
LAMA5;3911;protein-coding
OSBPL2;9885;protein-coding
ADRM1;11047;protein-coding
ASS1;445;protein-coding
EXOSC2;23404;protein-coding
POMT1;10585;protein-coding
UCK1;83549;protein-coding
FIBCD1;84929;protein-coding
CHMP2A;27243;protein-coding
UBE2M;9040;protein-coding
TRIM28;10155;protein-coding
METTL26;84326;protein-coding
YIPF2;78992;protein-coding
ATG4D;84971;protein-coding
EIF2S3;1968;protein-coding
TMEM160;54958;protein-coding
ZC3H4;23211;protein-coding
NPAS1;4861;protein-coding
GMFG;9535;protein-coding
MAP3K10;4294;protein-coding
ARHGEF16;27237;protein-coding
LRRC47;57470;protein-coding
SESN2;83667;protein-coding
SMPDL3B;27293;protein-coding
ATP5IF1;93974;protein-coding
MED18;54797;protein-coding
THEMIS2;9473;protein-coding
CLIP1;6249;protein-coding
CCDC62;84660;protein-coding
HIP1R;9026;protein-coding
ZNF317;57693;protein-coding
PPAN;56342;protein-coding
EIF3G;8666;protein-coding
SHFL;55337;protein-coding
DNMT1;1786;protein-coding
ZNF426;79088;protein-coding
SLC6A8;6535;protein-coding
PNCK;139728;protein-coding
DKC1;1736;protein-coding
PLXNA3;55558;protein-coding
DUSP9;1852;protein-coding
MPP1;4354;protein-coding
ZNF331;55422;protein-coding
ZNF236;7776;protein-coding
SLC7A10;56301;protein-coding
LRP3;4037;protein-coding
MTRFR;91574;protein-coding
NOL11;25926;protein-coding
UBE4B;10277;protein-coding
